"movie_name","movie_year","category"
"The Shawshank Redemption","1994","top rated movies"
"The Godfather","1972","top rated movies"
"The Godfather: Part II","1974","top rated movies"
"The Dark Knight","2008","top rated movies"
"12 Angry Men","1957","top rated movies"
"Schindler's List","1993","top rated movies"
"The Lord of the Rings: The Return of the King","2003","top rated movies"
"Pulp Fiction","1994","top rated movies"
"The Good, the Bad and the Ugly","1966","top rated movies"
"The Lord of the Rings: The Fellowship of the Ring","2001","top rated movies"
"Fight Club","1999","top rated movies"
"Forrest Gump","1994","top rated movies"
"Inception","2010","top rated movies"
"Star Wars: Episode V - The Empire Strikes Back","1980","top rated movies"
"The Lord of the Rings: The Two Towers","2002","top rated movies"
"The Matrix","1999","top rated movies"
"Goodfellas","1990","top rated movies"
"One Flew Over the Cuckoo's Nest","1975","top rated movies"
"Seven Samurai","1954","top rated movies"
"Se7en","1995","top rated movies"
"Life Is Beautiful","1997","top rated movies"
"City of God","2002","top rated movies"
"The Silence of the Lambs","1991","top rated movies"
"It's a Wonderful Life","1946","top rated movies"
"Star Wars: Episode IV - A New Hope","1977","top rated movies"
"Saving Private Ryan","1998","top rated movies"
"Spirited Away","2001","top rated movies"
"The Green Mile","1999","top rated movies"
"Parasite","2019","top rated movies"
"Interstellar","2014","top rated movies"
"Hamilton","2020","top rated movies"
"Léon: The Professional","1994","top rated movies"
"The Usual Suspects","1995","top rated movies"
"Harakiri","1962","top rated movies"
"The Lion King","1994","top rated movies"
"Back to the Future","1985","top rated movies"
"The Pianist","2002","top rated movies"
"Terminator 2: Judgment Day","1991","top rated movies"
"American History X","1998","top rated movies"
"Modern Times","1936","top rated movies"
"Psycho","1960","top rated movies"
"Gladiator","2000","top rated movies"
"City Lights","1931","top rated movies"
"The Departed","2006","top rated movies"
"The Intouchables","2011","top rated movies"
"Whiplash","2014","top rated movies"
"The Prestige","2006","top rated movies"
"Grave of the Fireflies","1988","top rated movies"
"Once Upon a Time in the West","1968","top rated movies"
"Casablanca","1942","top rated movies"
"Cinema Paradiso","1988","top rated movies"
"Rear Window","1954","top rated movies"
"Alien","1979","top rated movies"
"Apocalypse Now","1979","top rated movies"
"Memento","2000","top rated movies"
"Raiders of the Lost Ark","1981","top rated movies"
"The Great Dictator","1940","top rated movies"
"Joker","2019","top rated movies"
"Django Unchained","2012","top rated movies"
"The Lives of Others","2006","top rated movies"
"Paths of Glory","1957","top rated movies"
"The Shining","1980","top rated movies"
"WALL·E","2008","top rated movies"
"Avengers: Infinity War","2018","top rated movies"
"Sunset Blvd.","1950","top rated movies"
"Spider-Man: Into the Spider-Verse","2018","top rated movies"
"Princess Mononoke","1997","top rated movies"
"Witness for the Prosecution","1957","top rated movies"
"Oldboy","2003","top rated movies"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","top rated movies"
"The Dark Knight Rises","2012","top rated movies"
"Once Upon a Time in America","1984","top rated movies"
"Aliens","1986","top rated movies"
"Avengers: Endgame","2019","top rated movies"
"Your Name.","2016","top rated movies"
"Coco","2017","top rated movies"
"American Beauty","1999","top rated movies"
"Braveheart","1995","top rated movies"
"3 Idiots","2009","top rated movies"
"Das Boot","1981","top rated movies"
"Toy Story","1995","top rated movies"
"High and Low","1963","top rated movies"
"Amadeus","1984","top rated movies"
"Taare Zameen Par","2007","top rated movies"
"Star Wars: Episode VI - Return of the Jedi","1983","top rated movies"
"Inglourious Basterds","2009","top rated movies"
"Reservoir Dogs","1992","top rated movies"
"Good Will Hunting","1997","top rated movies"
"Capernaum","2018","top rated movies"
"2001: A Space Odyssey","1968","top rated movies"
"Requiem for a Dream","2000","top rated movies"
"Vertigo","1958","top rated movies"
"M","1931","top rated movies"
"Dangal","2016","top rated movies"
"1917","2019","top rated movies"
"Eternal Sunshine of the Spotless Mind","2004","top rated movies"
"The Hunt","2012","top rated movies"
"Citizen Kane","1941","top rated movies"
"Full Metal Jacket","1987","top rated movies"
"Bicycle Thieves","1948","top rated movies"
"The Kid","1921","top rated movies"
"A Clockwork Orange","1971","top rated movies"
"North by Northwest","1959","top rated movies"
"Snatch","2000","top rated movies"
"Singin' in the Rain","1952","top rated movies"
"Scarface","1983","top rated movies"
"Taxi Driver","1976","top rated movies"
"Amélie","2001","top rated movies"
"Lawrence of Arabia","1962","top rated movies"
"Ikiru","1952","top rated movies"
"Toy Story 3","2010","top rated movies"
"The Sting","1973","top rated movies"
"Metropolis","1927","top rated movies"
"A Separation","2011","top rated movies"
"For a Few Dollars More","1965","top rated movies"
"Incendies","2010","top rated movies"
"The Apartment","1960","top rated movies"
"Double Indemnity","1944","top rated movies"
"To Kill a Mockingbird","1962","top rated movies"
"Come and See","1985","top rated movies"
